Alabama,210298
Alaska,51214
Arizona,322995
Arkansas,123605
California,2791626
Colorado,343316
Connecticut,264949
Delaware,71164
Florida,971078
Georgia,557294
Hawaii,88593
Idaho,72065
Illinois,820408
Indiana,348366
Iowa,183496
Kansas,159167
Kentucky,199833
Louisiana,236514
Maine,61230
Maryland,396750
Massachusetts,537860
Michigan,503384
Minnesota,351868
Mississippi,109181
Missouri,303577
Montana,47040
Nebraska,118536
Nevada,155890
New Hampshire,80427
New Jersey,597752
New Mexico,93323
New York,1583899
North Carolina,534880
North Dakota,51972
Ohio,641630
Oklahoma,187043
Oregon,224764
Pennsylvania,746635
Rhode Island,59201
South Carolina,221061
South Dakota,49706
Tennessee,345710
Texas,1640409
Utah,163887
Vermont,32490
Virginia,507407
Washington,518701
West Virginia,72288
Wisconsin,319280
Wyoming,37644
